2026-03-04 23:44:11,311 - INFO - 爬虫启动
2026-03-04 23:44:11,478 - INFO - [1] 正在处理: Adams, Alma - https://adams.house.gov
2026-03-04 23:44:11,479 - INFO - [2] 正在处理: Aderholt, Robert - https://aderholt.house.gov/
2026-03-04 23:44:11,479 - INFO - [3] 正在处理: Aguilar, Pete - https://aguilar.house.gov/
2026-03-04 23:44:11,479 - INFO - [4] 正在处理: Alford, Mark - https://alford.house.gov
2026-03-04 23:44:11,479 - INFO - [5] 正在处理: Allen, Rick - https://allen.house.gov
2026-03-04 23:44:14,953 - INFO - [1] Adams, Alma: 找到 14 个新闻相关链接
2026-03-04 23:44:15,007 - INFO - [4] Alford, Mark: 找到 11 个新闻相关链接
2026-03-04 23:44:58,168 - INFO - 爬虫启动
2026-03-04 23:44:58,310 - INFO - [1] 正在处理: Adams, Alma - https://adams.house.gov
2026-03-04 23:44:58,310 - INFO - [2] 正在处理: Aderholt, Robert - https://aderholt.house.gov/
2026-03-04 23:44:58,310 - INFO - [3] 正在处理: Aguilar, Pete - https://aguilar.house.gov/
2026-03-04 23:44:58,311 - INFO - [4] 正在处理: Alford, Mark - https://alford.house.gov
2026-03-04 23:44:58,311 - INFO - [5] 正在处理: Allen, Rick - https://allen.house.gov
2026-03-04 23:45:01,575 - INFO - [2] Aderholt, Robert: 找到 7 个新闻相关链接
2026-03-04 23:45:03,028 - INFO - [4] Alford, Mark: 找到 11 个新闻相关链接
2026-03-04 23:45:03,395 - INFO - [1] Adams, Alma: 找到 14 个新闻相关链接
2026-03-04 23:45:03,714 - INFO - [3] Aguilar, Pete: 找到 5 个新闻相关链接
2026-03-04 23:45:03,726 - INFO - [5] Allen, Rick: 找到 10 个新闻相关链接
2026-03-04 23:45:06,570 - INFO - [2] Aderholt, Robert: 在 newsletter subscribe 找到 0 篇涉华文章
2026-03-04 23:45:07,130 - INFO - [4] Alford, Mark: 在 media 找到 0 篇涉华文章
2026-03-04 23:45:07,391 - INFO - [5] Allen, Rick: 在 media 找到 0 篇涉华文章
2026-03-04 23:45:07,755 - INFO - [1] Adams, Alma: 在 social media 找到 0 篇涉华文章
2026-03-04 23:45:07,822 - INFO - [3] Aguilar, Pete: 在 newsletter subscribe 找到 0 篇涉华文章
2026-03-04 23:45:09,822 - INFO - [5] Allen, Rick: 在 press releases 找到 0 篇涉华文章
2026-03-04 23:45:10,580 - INFO - [4] Alford, Mark: 在 press releases 找到 0 篇涉华文章
2026-03-04 23:45:12,035 - INFO - [2] Aderholt, Robert: 在 media 找到 0 篇涉华文章
2026-03-04 23:45:12,164 - INFO - [3] Aguilar, Pete: 在 newsletter unsubscribe 找到 0 篇涉华文章
2026-03-04 23:45:13,351 - INFO - [1] Adams, Alma: 在 job postings 找到 0 篇涉华文章
2026-03-04 23:45:14,913 - INFO - [5] Allen, Rick: 在 newsletters 找到 0 篇涉华文章
2026-03-04 23:45:15,187 - INFO - [4] Alford, Mark: 在 in the news 找到 0 篇涉华文章
2026-03-04 23:45:16,801 - INFO - [2] Aderholt, Robert: 在 press releases 找到 0 篇涉华文章
2026-03-04 23:45:16,883 - INFO - [3] Aguilar, Pete: 在 press 找到 0 篇涉华文章
2026-03-04 23:45:18,715 - INFO - [1] Adams, Alma: 在 media center 找到 0 篇涉华文章
2026-03-04 23:45:18,716 - INFO - 爬虫结束
2026-03-04 23:46:30,729 - INFO - 爬虫启动
2026-03-04 23:46:30,860 - INFO - [1] 正在处理: Adams, Alma - https://adams.house.gov
2026-03-04 23:46:30,860 - INFO - [2] 正在处理: Aderholt, Robert - https://aderholt.house.gov/
2026-03-04 23:46:30,860 - INFO - [3] 正在处理: Aguilar, Pete - https://aguilar.house.gov/
2026-03-04 23:46:30,860 - INFO - [4] 正在处理: Alford, Mark - https://alford.house.gov
2026-03-04 23:46:30,860 - INFO - [5] 正在处理: Allen, Rick - https://allen.house.gov
2026-03-04 23:46:34,348 - INFO - [1] Adams, Alma: 找到 14 个新闻相关链接
2026-03-04 23:46:35,112 - INFO - [2] Aderholt, Robert: 找到 7 个新闻相关链接
2026-03-04 23:46:36,322 - INFO - [5] Allen, Rick: 找到 10 个新闻相关链接
2026-03-04 23:46:36,352 - INFO - [4] Alford, Mark: 找到 11 个新闻相关链接
2026-03-04 23:46:36,418 - INFO - [3] Aguilar, Pete: 找到 5 个新闻相关链接
2026-03-04 23:46:37,567 - INFO - [1] Adams, Alma: 在 social media 找到 0 篇标题含涉华关键词的文章
2026-03-04 23:46:37,567 - INFO - [1] Adams, Alma: 还有 44 篇文章需要检查内容
2026-03-04 23:46:38,931 - INFO - [2] Aderholt, Robert: 在 newsletter subscribe 找到 0 篇标题含涉华关键词的文章
2026-03-04 23:46:38,931 - INFO - [2] Aderholt, Robert: 还有 48 篇文章需要检查内容
2026-03-04 23:46:39,726 - INFO - [4] Alford, Mark: 在 media 找到 0 篇标题含涉华关键词的文章
2026-03-04 23:46:39,726 - INFO - [4] Alford, Mark: 还有 79 篇文章需要检查内容
2026-03-04 23:46:39,869 - INFO - [5] Allen, Rick: 在 media 找到 0 篇标题含涉华关键词的文章
2026-03-04 23:46:39,870 - INFO - [5] Allen, Rick: 还有 84 篇文章需要检查内容
2026-03-04 23:46:40,911 - INFO - [3] Aguilar, Pete: 在 newsletter subscribe 找到 0 篇标题含涉华关键词的文章
2026-03-04 23:46:40,911 - INFO - [3] Aguilar, Pete: 还有 53 篇文章需要检查内容
2026-03-04 23:46:56,831 - INFO - [1] Adams, Alma: 在 social media 最终找到 0 篇涉华文章
2026-03-04 23:46:58,198 - INFO - [5] Allen, Rick: 在 media 最终找到 0 篇涉华文章
2026-03-04 23:46:58,470 - INFO - [4] Alford, Mark: 潜在文章中发现涉华内容 - Mark Alford's America Archive...
2026-03-04 23:46:58,470 - INFO - [4] Alford, Mark: 在 media 最终找到 1 篇涉华文章
2026-03-04 23:47:00,558 - INFO - [2] Aderholt, Robert: 在 newsletter subscribe 最终找到 0 篇涉华文章
2026-03-04 23:47:00,757 - INFO - [3] Aguilar, Pete: 在 newsletter subscribe 最终找到 0 篇涉华文章
2026-03-04 23:47:01,484 - INFO - [1] Adams, Alma: 在 job postings 找到 0 篇标题含涉华关键词的文章
2026-03-04 23:47:01,484 - INFO - [1] Adams, Alma: 还有 45 篇文章需要检查内容
2026-03-04 23:47:01,708 - INFO - [4] Alford, Mark: 成功提取文章 - Mark Alford's America Archive...
2026-03-04 23:47:02,757 - INFO - [5] Allen, Rick: 在 press releases 找到 0 篇标题含涉华关键词的文章
2026-03-04 23:47:02,757 - INFO - [5] Allen, Rick: 还有 59 篇文章需要检查内容
2026-03-04 23:47:04,439 - INFO - [3] Aguilar, Pete: 在 newsletter unsubscribe 找到 0 篇标题含涉华关键词的文章
2026-03-04 23:47:04,439 - INFO - [3] Aguilar, Pete: 还有 53 篇文章需要检查内容
2026-03-04 23:47:05,499 - INFO - [4] Alford, Mark: 在 press releases 找到 0 篇标题含涉华关键词的文章
2026-03-04 23:47:05,499 - INFO - [4] Alford, Mark: 还有 54 篇文章需要检查内容
2026-03-04 23:47:05,773 - INFO - [2] Aderholt, Robert: 在 media 找到 0 篇标题含涉华关键词的文章
2026-03-04 23:47:05,773 - INFO - [2] Aderholt, Robert: 还有 77 篇文章需要检查内容
2026-03-04 23:47:22,917 - INFO - [1] Adams, Alma: 在 job postings 最终找到 0 篇涉华文章
2026-03-04 23:47:24,286 - INFO - [2] Aderholt, Robert: 在 media 最终找到 0 篇涉华文章
2026-03-04 23:47:24,451 - INFO - [5] Allen, Rick: 在 press releases 最终找到 0 篇涉华文章
2026-03-04 23:47:24,703 - INFO - [4] Alford, Mark: 在 press releases 最终找到 0 篇涉华文章
2026-03-04 23:47:25,555 - INFO - [3] Aguilar, Pete: 在 newsletter unsubscribe 最终找到 0 篇涉华文章
2026-03-04 23:47:25,806 - INFO - [1] Adams, Alma: 在 media center 找到 0 篇标题含涉华关键词的文章
2026-03-04 23:47:25,806 - INFO - [1] Adams, Alma: 还有 76 篇文章需要检查内容
2026-03-04 23:47:27,004 - INFO - [2] Aderholt, Robert: 在 press releases 找到 0 篇标题含涉华关键词的文章
2026-03-04 23:47:27,004 - INFO - [2] Aderholt, Robert: 还有 77 篇文章需要检查内容
2026-03-04 23:47:27,965 - INFO - [5] Allen, Rick: 在 newsletters 找到 0 篇标题含涉华关键词的文章
2026-03-04 23:47:27,965 - INFO - [5] Allen, Rick: 还有 46 篇文章需要检查内容
