name,website,district,state,region_category,party,committee
"Adams, Alma",https://adams.house.gov,North Carolina 12th,North Carolina,state,D,Agriculture|Education and Workforce
"Aderholt, Robert",https://aderholt.house.gov/,Alabama 4th,Alabama,state,R,Appropriations
"Aguilar, Pete",https://aguilar.house.gov/,California 33rd,California,state,D,Appropriations
"Alford, Mark",https://alford.house.gov,Missouri 4th,Missouri,state,R,Appropriations|Small Business
"Allen, Rick",https://allen.house.gov,Georgia 12th,Georgia,state,R,Education and Workforce|Energy and Commerce
"Amo, Gabe",https://amo.house.gov,Rhode Island 1st,Rhode Island,state,D,"Budget|Foreign Affairs|Science, Space, and Technology"
"Amodei, Mark",https://amodei.house.gov,Nevada 2nd,Nevada,state,R,Appropriations|Natural Resources
"Ansari, Yassamin",https://ansari.house.gov/,Arizona 3rd,Arizona,state,D,Oversight and Government Reform|Natural Resources
"Arrington, Jodey",https://arrington.house.gov,Texas 19th,Texas,state,R,Budget|Ways and Means
"Auchincloss, Jake",https://auchincloss.house.gov,Massachusetts 4th,Massachusetts,state,D,Energy and Commerce
"Babin, Brian",https://babin.house.gov,Texas 36th,Texas,state,R,"Transportation and Infrastructure|Science, Space, and Technology"
"Bacon, Don",https://bacon.house.gov,Nebraska 2nd,Nebraska,state,R,Agriculture|Armed Services
"Baird, James",https://baird.house.gov/,Indiana 4th,Indiana,state,R,"Agriculture|Foreign Affairs|Science, Space, and Technology"
"Balderson, Troy",https://balderson.house.gov,Ohio 12th,Ohio,state,R,Energy and Commerce
"Balint, Becca",https://balint.house.gov,Vermont At Large,Vermont,state,D,Budget|Judiciary
"Barr, Andy",https://barr.house.gov/,Kentucky 6th,Kentucky,state,R,Financial Services|Foreign Affairs|Select Comm on the Strategic Competition US and China
"Barragan, Nanette",https://barragan.house.gov,California 44th,California,state,D,Energy and Commerce
"Barrett, Tom",https://barrett.house.gov/,Michigan 7th,Michigan,state,R,Transportation and Infrastructure|Veterans' Affairs
"Baumgartner, Michael",https://baumgartner.house.gov/,Washington 5th,Washington,state,R,Education and Workforce|Foreign Affairs|Judiciary
"Bean, Aaron",https://bean.house.gov,Florida 4th,Florida,state,R,Ways and Means
"Beatty, Joyce",https://beatty.house.gov,Ohio 3rd,Ohio,state,D,Financial Services
"Begich, Nicholas",https://begich.house.gov/,Alaska At Large,Alaska,state,R,"Natural Resources|Transportation and Infrastructure|Science, Space, and Technology"
"Bell, Wesley",https://bell.house.gov/,Missouri 1st,Missouri,state,D,Armed Services|Oversight and Government Reform
"Bentz, Cliff",https://bentz.house.gov,Oregon 2nd,Oregon,state,R,Energy and Commerce|Natural Resources
"Bera, Ami",https://bera.house.gov,California 6th,California,state,D,Foreign Affairs|Intelligence
"Bergman, Jack",https://bergman.house.gov,Michigan 1st,Michigan,state,R,Armed Services|Budget|Veterans' Affairs
"Beyer, Donald",https://beyer.house.gov,Virginia 8th,Virginia,state,D,"Science, Space, and Technology|Ways and Means"
"Bice, Stephanie",https://bice.house.gov,Oklahoma 5th,Oklahoma,state,R,Appropriations|House Administration
"Biggs, Andy",https://biggs.house.gov,Arizona 5th,Arizona,state,R,Oversight and Government Reform|Judiciary
"Biggs, Sheri",https://sheribiggs.house.gov/,South Carolina 3rd,South Carolina,state,R,"Foreign Affairs|Homeland Security|Science, Space, and Technology"
"Bilirakis, Gus",https://bilirakis.house.gov/,Florida 12th,Florida,state,R,Energy and Commerce|Select Comm on the Strategic Competition US and China
"Bishop, Sanford",https://bishop.house.gov/,Georgia 2nd,Georgia,state,D,Appropriations
"Boebert, Lauren",https://boebert.house.gov,Colorado 4th,Colorado,state,R,Oversight and Government Reform|Natural Resources
"Bonamici, Suzanne",https://bonamici.house.gov,Oregon 1st,Oregon,state,D,"Education and Workforce|Science, Space, and Technology"
"Bost, Mike",https://bost.house.gov/,Illinois 12th,Illinois,state,R,Agriculture|Transportation and Infrastructure|Veterans' Affairs
"Boyle, Brendan",https://boyle.house.gov/,Pennsylvania 2nd,Pennsylvania,state,D,Budget|Ways and Means
"Brecheen, Josh",https://brecheen.house.gov,Oklahoma 2nd,Oklahoma,state,R,Budget|Homeland Security
