name,website,X,Facebook
"Allen, Rick",https://allen.house.gov,https://x.com/RepRickAllen,https://www.facebook.com/CongressmanRickAllen
"Amo, Gabe",https://amo.house.gov,https://x.com/RepGabeAmo,https://www.facebook.com/profile.php?id=61553581414066
"Auchincloss, Jake",https://auchincloss.house.gov,https://twitter.com/RepAuchincloss,https://www.facebook.com/RepAuchincloss
"Ansari, Yassamin",https://ansari.house.gov/,https://x.com/RepYassAnsari,https://www.facebook.com/repyassansari/
"Aderholt, Robert",https://aderholt.house.gov/,,http://www.facebook.com/RobertAderholt
"Amodei, Mark",https://amodei.house.gov,http://twitter.com/markamodeinv2,https://www.facebook.com/MarkAmodeiNV2
"Adams, Alma",https://adams.house.gov,https://x.com/RepAdams,http://www.facebook.com/CongresswomanAdams
"Aguilar, Pete",https://aguilar.house.gov/,http://twitter.com/RepPeteAguilar,http://www.facebook.com/RepPeteAguilar/
"Arrington, Jodey",https://arrington.house.gov,https://twitter.com/reparrington?lang=en,https://www.facebook.com/RepJodeyArrington/
"Bacon, Don",https://bacon.house.gov,https://twitter.com/RepDonBacon,https://www.facebook.com/RepDonBacon
"Balderson, Troy",https://balderson.house.gov,https://twitter.com/RepBalderson,https://www.facebook.com/RepTroyBalderson/
"Baird, James",https://baird.house.gov/,https://twitter.com/repjimbaird,https://www.facebook.com/RepJimBaird/
"Babin, Brian",https://babin.house.gov,https://twitter.com/RepBrianBabin,https://www.facebook.com/RepBrianBabin
"Barragan, Nanette",https://barragan.house.gov,http://twitter.com/repbarragan,https://www.facebook.com/CongresswomanBarragan
"Barr, Andy",https://barr.house.gov/,https://www.twitter.com/RepAndyBarr,http://www.facebook.com/RepAndyBarr
"Balint, Becca",https://balint.house.gov,https://twitter.com/repbeccab,https://facebook.com/repbeccab
"Baumgartner, Michael",https://baumgartner.house.gov/,https://twitter.com/repbaumgartner,https://www.facebook.com/RepBaumgartner
