2026-03-06 13:59:20,521 - INFO - 爬虫启动
2026-03-06 13:59:28,240 - INFO - [1] Adams, Alma: 开始爬取 https://adams.house.gov
2026-03-06 13:59:28,241 - INFO - [2] Aderholt, Robert: 开始爬取 https://aderholt.house.gov/
2026-03-06 13:59:28,242 - INFO - [3] Aguilar, Pete: 开始爬取 https://aguilar.house.gov/
2026-03-06 13:59:28,242 - INFO - [4] Alford, Mark: 开始爬取 https://alford.house.gov
2026-03-06 13:59:28,244 - INFO - [5] Allen, Rick: 开始爬取 https://allen.house.gov
2026-03-06 13:59:31,388 - ERROR - [3] Aguilar, Pete: 未知错误: name 'BeautifulSoup' is not defined
2026-03-06 13:59:31,780 - ERROR - [4] Alford, Mark: 未知错误: name 'BeautifulSoup' is not defined
2026-03-06 13:59:32,380 - ERROR - [2] Aderholt, Robert: 未知错误: name 'BeautifulSoup' is not defined
2026-03-06 13:59:32,624 - ERROR - [5] Allen, Rick: 未知错误: name 'BeautifulSoup' is not defined
2026-03-06 13:59:33,851 - ERROR - [1] Adams, Alma: 未知错误: name 'BeautifulSoup' is not defined
2026-03-06 13:59:33,855 - INFO - 爬虫结束 - 共保存 0 篇文章
2026-03-06 14:02:29,275 - INFO - 爬虫启动
2026-03-06 14:02:36,085 - INFO - [1] Adams, Alma: 开始爬取 https://adams.house.gov
2026-03-06 14:02:36,086 - INFO - [2] Aderholt, Robert: 开始爬取 https://aderholt.house.gov/
2026-03-06 14:02:36,087 - INFO - [3] Aguilar, Pete: 开始爬取 https://aguilar.house.gov/
2026-03-06 14:02:36,087 - INFO - [4] Alford, Mark: 开始爬取 https://alford.house.gov
2026-03-06 14:02:36,088 - INFO - [5] Allen, Rick: 开始爬取 https://allen.house.gov
2026-03-06 14:02:39,055 - INFO - [1] Adams, Alma: 共找到 4 个 Press Releases 页面
2026-03-06 14:02:39,430 - INFO - [3] Aguilar, Pete: 共找到 1 个 Press Releases 页面
2026-03-06 14:02:40,333 - INFO - [2] Aderholt, Robert: 共找到 4 个 Press Releases 页面
2026-03-06 14:02:40,520 - INFO - [4] Alford, Mark: 共找到 1 个 Press Releases 页面
